,<S>,ADJ,ADV,CONJ,DET,EZ,N,NUM,PART,POST,PREP,PRON,Unknown,V
uzāyēnd,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,3.726
kardagē,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
midargpāyag,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
wināhišngarān,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
nēwardaxšīr,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,2.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
nēw,0.0,5.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
abēbūd,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,3.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
wiftag,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
arzānīgān,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,7.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
xēšmgēn,0.0,1.7260001,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
hammōxtārīh,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,4.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
bēšmadārtar,0.0,1.7260001,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
xumbiz,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
harwispanāgīh,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
munǰ,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
āgustag,0.0,1.7260001,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
frehbūdmenišnīh,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,3.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
rasād,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,9.726
nēryōsang,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,9.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
wizīdārīhā,0.0,1e-04,1.7260001,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
xub,0.0,1.7260001,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
frazāmkārīh,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,3.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
šāyistnēšāyist,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
arawišnīg,0.0,1.7260001,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
samōr,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,9.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
sturdbār,0.0,1.7260001,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
pērōzgar,0.0,13.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
pursēnd,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,3.726
wurrōyēnd,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,4.726
šāyist,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,7.726
dārūg,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,6.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
sprahm,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,3.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
hampaymānīhā,0.0,1e-04,1.7260001,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
murwān,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,8.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
xwābarīh,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,2.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
daštān,0.0,1.7260001,1e-04,1e-04,1e-04,1e-04,36.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
judkēšān,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
gōnaggōnag,0.0,8.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
kat,0.0,1e-04,1e-04,10.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
tarr,0.0,8.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
may,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,31.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
hangirdīg,0.0,1.7260001,2.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
framušt,0.0,1.7260001,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
xūbrawāgīh,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
yākand,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
anārgēl,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,2.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
šahrestān,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,56.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
ayārtar,0.0,5.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
sōšyans,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,5.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
waranīgān,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
guftan,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,7.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,17.726
šahrīhā,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,4.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
grāmīgīh,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
parrōn,0.0,1e-04,1.7260001,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
dānāgīh,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,17.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
hād,0.0,1e-04,18.726,1e-04,1e-04,1e-04,2.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,32.726
mardōmzādagīh,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
pašēmāntar,0.0,4.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
